Date,MyWay,Paper Ticket,Total
19/10/2021,3093,84,3177
21/10/2021,3276,111,3387
18/10/2021,3084,117,3201
22/10/2021,3969,183,4152
24/10/2021,2169,108,2277
23/10/2021,2776,207,2983
26/10/2021,4478,125,4603
25/10/2021,4294,124,4418
27/10/2021,4733,150,4883
29/10/2021,5218,239,5457
30/10/2021,3733,274,4007
28/10/2021,4731,151,4882
31/10/2021,2635,161,2796
01/11/2021,5987,211,6198
02/11/2021,6570,266,6836
03/11/2021,6640,218,6858
04/11/2021,5694,158,5852
05/11/2021,6396,269,6665
06/11/2021,3867,340,4207
07/11/2021,2763,156,2919
08/11/2021,6538,210,6748
09/11/2021,7047,217,7264
10/11/2021,7006,212,7218
11/11/2021,7110,222,7332
13/11/2021,3705,319,4024
14/11/2021,2496,159,2655
12/11/2021,6582,258,6840
15/11/2021,6653,217,6870
16/11/2021,7689,264,7953
17/11/2021,7778,234,8012
18/11/2021,7816,307,8123
19/11/2021,7960,419,8379
20/11/2021,4141,448,4589
21/11/2021,2975,242,3217
22/11/2021,7606,235,7841
23/11/2021,8161,250,8411
24/11/2021,7690,253,7943
25/11/2021,7717,289,8006
26/11/2021,8032,366,8398
27/11/2021,4411,424,4835
28/11/2021,3273,207,3480
29/11/2021,8210,286,8496
30/11/2021,8643,285,8928
02/12/2021,8520,254,8774
04/12/2021,4765,500,5265
03/12/2021,9063,439,9502
05/12/2021,3495,235,3730
06/12/2021,8276,317,8593
07/12/2021,8889,305,9194
08/12/2021,8726,260,8986
10/12/2021,8277,475,8752
09/12/2021,8643,291,8934
11/12/2021,4889,561,5450
12/12/2021,3774,313,4087
13/12/2021,8539,287,8826
14/12/2021,8870,265,9135
17/12/2021,9358,524,9882
15/12/2021,8621,325,8946
16/12/2021,9187,384,9571
18/12/2021,4609,417,5026
19/12/2021,2755,173,2928
20/12/2021,7440,344,7784
21/12/2021,7584,321,7905
26/05/2021,12243,352,12595
23/12/2021,5837,306,6143
22/12/2021,6797,307,7104
24/12/2021,4369,229,4598
26/12/2021,2429,238,2667
27/12/2021,2338,226,2564
28/12/2021,2695,286,2981
29/12/2021,3606,285,3891
30/12/2021,3630,265,3895
31/12/2021,3853,142,3995
02/01/2022,2312,204,2516
03/01/2022,2397,207,2604
04/01/2022,4585,235,4820
06/01/2022,4555,486,5041
05/01/2022,4467,242,4709
07/01/2022,4539,791,5330
08/01/2022,3624,1165,4789
10/01/2022,4634,180,4814
09/01/2022,2623,317,2940
11/01/2022,4630,175,4805
12/01/2022,4821,217,5038
09/04/2022,5090,607,5697
14/01/2022,4964,262,5226
13/01/2022,4713,213,4926
10/04/2022,4011,359,4370
16/01/2022,2650,149,2799
15/01/2022,3193,271,3464
11/04/2022,8842,451,9293
18/01/2022,4787,213,5000
17/01/2022,4825,208,5033
19/01/2022,5238,253,5491
20/01/2022,5259,232,5491
21/01/2022,5527,331,5858
08/04/2022,9737,426,10163
22/01/2022,3728,389,4117
23/01/2022,2919,224,3143
24/01/2022,5315,225,5540
12/04/2022,9662,471,10133
13/04/2022,9344,479,9823
26/01/2022,2880,243,3123
25/01/2022,5520,294,5814
27/01/2022,5924,235,6159
01/01/2022,1945,162,2107
14/04/2022,8972,587,9559
15/04/2022,2911,452,3363
29/01/2022,3437,307,3744
28/01/2022,6096,317,6413
30/01/2022,3105,195,3300
31/01/2022,6360,278,6638
01/12/2021,8720,247,8967
02/02/2022,7569,298,7867
01/02/2022,7011,280,7291
03/02/2022,7744,304,8048
17/04/2022,3452,474,3926
05/02/2022,4279,506,4785
04/02/2022,7829,448,8277
06/02/2022,3213,261,3474
07/02/2022,7529,295,7824
16/04/2022,4536,537,5073
18/04/2022,3453,338,3791
19/04/2022,8559,384,8943
09/02/2022,8149,289,8438
08/02/2022,8013,367,8380
10/02/2022,7995,377,8372
11/02/2022,8712,623,9335
20/04/2022,9037,564,9601
21/04/2022,9061,532,9593
12/02/2022,4757,1442,6199
13/02/2022,3325,279,3604
14/02/2022,8164,329,8493
22/04/2022,8916,597,9513
15/02/2022,8380,296,8676
16/02/2022,8130,288,8418
17/02/2022,8514,350,8864
24/04/2022,4929,1299,6228
18/02/2022,8908,452,9360
19/02/2022,4984,497,5481
20/02/2022,3527,276,3803
21/02/2022,8470,305,8775
22/02/2022,8889,308,9197
23/02/2022,9130,336,9466
24/02/2022,8950,306,9256
25/04/2022,3377,346,3723
26/02/2022,5406,668,6074
23/04/2022,4980,633,5613
25/02/2022,8847,368,9215
26/04/2022,10890,424,11314
27/02/2022,4080,383,4463
28/02/2022,8784,283,9067
27/04/2022,10928,327,11255
01/03/2022,9255,343,9598
02/03/2022,8910,272,9182
03/03/2022,9609,280,9889
28/04/2022,10846,375,11221
04/03/2022,9858,469,10327
29/04/2022,11088,512,11600
06/03/2022,3617,222,3839
05/03/2022,4630,471,5101
07/03/2022,9089,289,9378
09/03/2022,10156,336,10492
08/03/2022,9408,280,9688
10/03/2022,9927,315,10242
11/03/2022,10088,578,10666
12/03/2022,5252,643,5895
13/03/2022,4117,427,4544
14/03/2022,3854,238,4092
15/03/2022,10229,335,10564
16/03/2022,10492,366,10858
17/03/2022,10647,380,11027
18/03/2022,10539,494,11033
19/03/2022,5352,807,6159
20/03/2022,3700,292,3992
21/03/2022,10032,278,10310
01/05/2022,4080,368,4448
02/05/2022,10202,378,10580
30/04/2022,5560,491,6051
03/05/2022,11114,325,11439
04/05/2022,10946,317,11263
05/05/2022,11087,360,11447
06/05/2022,10901,471,11372
07/05/2022,5249,502,5751
08/05/2022,3890,336,4226
10/05/2022,11071,332,11403
11/05/2022,11023,356,11379
12/05/2022,9510,312,9822
13/05/2022,10731,546,11277
15/05/2022,3528,251,3779
14/05/2022,5297,532,5829
18/05/2022,10903,360,11263
17/05/2022,11308,377,11685
16/05/2022,10062,322,10384
19/05/2022,11186,430,11616
22/05/2022,3436,260,3696
20/05/2022,10251,474,10725
21/05/2022,5443,493,5936
09/05/2022,10499,334,10833
23/05/2022,10409,361,10770
24/05/2022,11323,352,11675
25/05/2022,11199,332,11531
26/05/2022,11539,360,11899
28/05/2022,4843,452,5295
27/05/2022,10687,538,11225
29/05/2022,4076,350,4426
30/05/2022,2877,152,3029
01/06/2022,10616,323,10939
31/05/2022,9844,267,10111
03/06/2022,10460,458,10918
04/06/2022,4720,375,5095
02/06/2022,10683,356,11039
05/06/2022,3317,201,3518
06/06/2022,9751,328,10079
08/06/2022,10696,352,11048
07/06/2022,10397,274,10671
10/06/2022,10149,520,10669
11/06/2022,4706,569,5275
09/06/2022,10443,337,10780
12/06/2022,3995,453,4448
13/06/2022,3412,277,3689
14/06/2022,10492,350,10842
15/06/2022,10850,322,11172
16/06/2022,10495,331,10826
18/06/2022,5183,516,5699
17/06/2022,10818,470,11288
19/06/2022,3845,273,4118
20/06/2022,10128,377,10505
21/06/2022,10418,323,10741
22/06/2022,10828,376,11204
23/06/2022,10558,393,10951
24/06/2022,9547,518,10065
26/06/2022,4064,285,4349
25/06/2022,4917,548,5465
27/06/2022,9797,369,10166
28/06/2022,10428,425,10853
29/06/2022,10205,399,10604
30/06/2022,10083,424,10507
