Date,MyWay,Paper Ticket,Total
19/06/2019,14806,350,15156
07/01/2020,9859,432,10291
06/08/2019,15916,370,16286
05/07/2019,13189,565,13754
16/05/2019,17802,216,18018
04/10/2019,14342,965,15307
25/08/2019,5109,419,5528
03/08/2019,7891,771,8662
18/05/2019,10870,598,11468
24/06/2019,13562,298,13860
11/06/2019,14596,304,14900
20/12/2019,12091,718,12809
12/10/2019,7271,782,8053
09/10/2019,14697,783,15480
03/01/2020,7607,1873,9480
19/11/2019,15138,474,15612
16/11/2019,7477,850,8327
21/09/2019,6320,669,6989
02/07/2019,13822,402,14224
04/05/2019,12025,632,12657
03/06/2019,13762,307,14069
10/07/2019,12690,600,13290
12/01/2020,3828,295,4123
10/08/2019,6174,543,6717
23/07/2019,15715,351,16066
17/02/2020,15460,484,15944
22/11/2019,14962,867,15829
20/09/2019,17758,882,18640
07/10/2019,5570,621,6191
17/12/2019,13619,501,14120
02/12/2019,13700,533,14233
19/07/2019,13545,815,14360
02/11/2019,7281,682,7963
08/09/2019,5585,411,5996
27/07/2019,7284,732,8016
08/12/2019,5530,479,6009
14/09/2019,8221,920,9141
26/12/2019,5291,717,6008
08/10/2019,13234,604,13838
13/12/2019,15085,960,16045
22/05/2019,18252,238,18490
26/05/2019,9361,478,9839
03/02/2020,13768,548,14316
31/08/2019,7728,647,8375
19/09/2019,15997,573,16570
17/09/2019,14955,407,15362
15/05/2019,18217,200,18417
29/11/2019,15425,822,16247
06/01/2020,8602,426,9028
12/08/2019,14560,341,14901
27/10/2019,5737,469,6206
06/05/2019,16885,216,17101
24/11/2019,4911,439,5350
10/10/2019,14668,733,15401
12/05/2019,8062,427,8489
18/09/2019,16044,469,16513
09/11/2019,7242,762,8004
08/01/2020,10620,411,11031
27/11/2019,14857,468,15325
22/08/2019,15842,412,16254
01/02/2020,5121,479,5600
23/06/2019,4784,374,5158
05/11/2019,15673,527,16200
18/01/2020,5686,613,6299
20/01/2020,11884,488,12372
14/07/2019,4012,404,4416
24/01/2020,12793,741,13534
28/08/2019,15466,421,15887
29/08/2019,15551,435,15986
06/09/2020,3245,155,3400
07/12/2019,8033,975,9008
30/01/2020,13252,650,13902
29/01/2020,12828,458,13286
08/08/2019,14768,398,15166
24/04/2019,9518,1147,10665
30/05/2019,15170,271,15441
13/02/2020,15087,498,15585
01/09/2019,5390,452,5842
10/12/2019,14321,510,14831
17/07/2019,13145,708,13853
26/09/2019,15266,546,15812
26/10/2019,7475,823,8298
28/05/2019,14916,251,15167
27/12/2019,5626,648,6274
13/06/2019,14135,340,14475
03/10/2019,15218,915,16133
29/06/2019,7118,715,7833
20/11/2019,14863,502,15365
17/10/2019,15606,502,16108
15/07/2019,12099,644,12743
17/06/2019,14546,315,14861
08/02/2020,6652,632,7284
02/02/2020,4415,319,4734
05/08/2019,15164,374,15538
16/01/2020,11701,522,12223
01/07/2019,12931,344,13275
25/09/2019,16324,496,16820
11/07/2019,12011,466,12477
05/02/2020,15341,533,15874
06/02/2020,15314,441,15755
29/10/2019,15511,416,15927
03/05/2019,16274,314,16588
22/01/2020,13104,577,13681
11/02/2020,15675,476,16151
23/01/2020,12484,530,13014
11/08/2019,4592,318,4910
28/12/2019,4566,594,5160
17/05/2019,18936,382,19318
09/09/2019,14016,367,14383
04/01/2020,4079,1709,5788
24/08/2019,7199,686,7885
14/08/2019,15327,398,15725
31/01/2020,12024,584,12608
24/05/2019,18805,339,19144
26/07/2019,15438,504,15942
23/08/2019,15762,572,16334
07/08/2019,15475,402,15877
04/02/2020,14974,488,15462
30/08/2019,15519,568,16087
15/06/2019,6958,579,7537
13/07/2019,5853,610,6463
23/12/2019,9200,536,9736
14/12/2019,7006,759,7765
21/07/2019,5533,501,6034
26/06/2019,14333,300,14633
30/06/2019,5195,465,5660
25/06/2019,13943,408,14351
07/05/2019,17826,193,18019
10/01/2020,11025,649,11674
12/06/2019,14904,277,15181
30/11/2019,6660,735,7395
06/12/2019,15370,828,16198
07/06/2019,14990,414,15404
17/08/2019,7278,723,8001
14/10/2019,15070,470,15540
15/08/2019,15735,375,16110
27/08/2019,15461,343,15804
02/09/2019,14183,432,14615
04/12/2019,14856,542,15398
30/07/2019,16123,321,16444
06/09/2019,14102,505,14607
16/07/2019,13003,733,13736
10/05/2019,15971,263,16234
11/01/2020,5285,546,5831
07/02/2020,15543,602,16145
24/12/2019,7199,501,7700
13/10/2019,5693,429,6122
14/05/2019,17948,219,18167
04/09/2019,14547,347,14894
26/11/2019,14560,450,15010
31/10/2019,15577,507,16084
31/07/2019,15796,479,16275
24/09/2019,16172,532,16704
25/10/2019,15607,598,16205
20/07/2019,7305,840,8145
31/05/2019,15300,382,15682
27/09/2019,16388,835,17223
27/06/2019,13325,413,13738
22/07/2019,14910,384,15294
